City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ilulissat,GL,2021-11-24 02:39:24,69.2167,-51.1,30.22,74,90,14.97
1,Tuktoyaktuk,CA,2021-11-24 02:39:24,69.4541,-133.0374,-5.8,77,75,4.61
2,Hamilton,US,2021-11-24 02:36:46,39.1834,-84.5333,35.78,67,1,0.0
3,Chernyshevskiy,RU,2021-11-24 02:39:25,63.0128,112.4714,-8.0,87,100,3.74
4,Mataura,NZ,2021-11-24 02:39:26,-46.1927,168.8643,63.54,46,100,6.73
5,Dom Pedrito,BR,2021-11-24 02:39:26,-30.9828,-54.6731,57.51,63,2,6.8
6,Kushmurun,KZ,2021-11-24 02:39:26,52.4503,64.6311,16.02,91,100,6.4
7,Geraldton,AU,2021-11-24 02:39:27,-28.7667,114.6,90.01,15,0,12.66
8,Poum,NC,2021-11-24 02:39:28,-20.2333,164.0167,78.89,78,100,5.77
9,Carnarvon,AU,2021-11-24 02:39:29,-24.8667,113.6333,95.07,18,0,16.11
10,East London,ZA,2021-11-24 02:39:29,-33.0153,27.9116,58.62,84,100,11.7
11,Saint-Augustin,CA,2021-11-24 02:39:30,51.226,-58.6502,40.64,98,100,15.37
12,Albany,US,2021-11-24 02:36:23,42.6001,-73.9662,29.08,62,1,3.0
13,Mehamn,NO,2021-11-24 02:39:30,71.0357,27.8492,22.19,76,100,3.09
14,Hilo,US,2021-11-24 02:39:31,19.7297,-155.09,78.53,77,75,8.05
15,Rikitea,PF,2021-11-24 02:39:31,-23.1203,-134.9692,76.86,82,100,12.88
16,Itambacuri,BR,2021-11-24 02:35:56,-18.0311,-41.685,68.59,94,7,1.95
17,Khorinsk,RU,2021-11-24 02:39:32,52.1657,109.7726,12.63,77,97,1.43
18,Punta Arenas,CL,2021-11-24 02:39:32,-53.15,-70.9167,44.71,76,0,12.66
19,Hobyo,SO,2021-11-24 02:39:33,5.3505,48.5268,79.03,78,89,4.03
20,Tuatapere,NZ,2021-11-24 02:39:33,-46.1333,167.6833,61.75,57,100,9.48
21,Pevek,RU,2021-11-24 02:39:34,69.7008,170.3133,-19.62,99,100,3.38
22,Saint Anthony,US,2021-11-24 02:39:35,45.0205,-93.218,49.14,53,1,5.99
23,Ahuimanu,US,2021-11-24 02:39:35,21.4447,-157.8378,83.91,60,75,4.61
24,Mackay,AU,2021-11-24 02:39:35,-21.15,149.2,87.04,74,99,14.97
25,Yamada,JP,2021-11-24 02:39:36,39.4667,141.95,45.19,63,71,6.51
26,Wahiawa,US,2021-11-24 02:39:12,21.5028,-158.0236,80.92,62,75,10.36
27,Jamestown,US,2021-11-24 02:37:20,42.097,-79.2353,33.39,78,1,3.0
28,Faya,SA,2021-11-24 02:39:37,18.3851,42.4509,52.32,33,69,6.73
29,Chuy,UY,2021-11-24 02:39:37,-33.6971,-53.4616,53.15,77,0,4.99
30,Cherskiy,RU,2021-11-24 02:39:38,68.75,161.3,-33.36,100,37,4.54
31,North Adams,US,2021-11-24 02:35:10,42.7009,-73.1087,28.67,46,4,11.65
32,Port Lincoln,AU,2021-11-24 02:39:39,-34.7333,135.8667,69.39,70,66,11.68
33,Alyangula,AU,2021-11-24 02:39:39,-13.8483,136.4192,89.47,58,93,9.22
34,Provideniya,RU,2021-11-24 02:39:40,64.3833,-173.3,8.71,43,0,0.0
35,Kapaa,US,2021-11-24 02:38:06,22.0752,-159.319,82.38,72,1,1.99
36,Vilhena,BR,2021-11-24 02:39:40,-12.7406,-60.1458,70.5,93,53,1.32
37,Letychiv,UA,2021-11-24 02:39:41,49.3826,27.6305,35.28,77,100,8.99
38,San Patricio,US,2021-11-24 02:39:41,28.017,-97.5169,70.83,66,99,8.28
39,Paamiut,GL,2021-11-24 02:39:42,61.994,-49.6678,35.17,91,100,45.54
40,New Norfolk,AU,2021-11-24 02:39:42,-42.7826,147.0587,74.71,49,100,1.99
41,Porto Novo,BJ,2021-11-24 02:39:43,6.4965,2.6036,78.53,86,10,5.86
42,Ciudad Bolivar,VE,2021-11-24 02:39:43,8.1222,-63.5497,81.79,70,100,11.27
43,Mitu,CO,2021-11-24 02:39:44,1.1983,-70.1733,71.33,98,99,1.12
44,Touros,BR,2021-11-24 02:39:44,-5.1989,-35.4608,77.9,79,96,10.92
45,Kindia,GN,2021-11-24 02:39:45,10.0569,-12.8658,69.26,54,19,2.21
46,Campo Alegre,BR,2021-11-24 02:40:45,-9.7819,-36.3508,76.28,88,38,7.25
47,Ushuaia,AR,2021-11-24 02:37:55,-54.8,-68.3,42.46,81,75,10.36
48,Tiksi,RU,2021-11-24 02:40:46,71.6872,128.8694,-20.58,98,43,7.2
49,Granja,BR,2021-11-24 02:40:46,-3.1203,-40.8261,79.02,79,96,5.19
50,Nazareno,MX,2021-11-24 02:40:47,25.3833,-103.4167,63.99,53,40,0.98
51,Vaini,TO,2021-11-24 02:40:47,-21.2,-175.2,82.56,83,75,3.44
52,Bredasdorp,ZA,2021-11-24 02:40:48,-34.5322,20.0403,57.27,85,99,4.79
53,Qaanaaq,GL,2021-11-24 02:40:48,77.484,-69.3632,-6.45,69,34,8.08
54,Kavieng,PG,2021-11-24 02:40:49,-2.5744,150.7967,84.94,72,99,15.68
55,Narsaq,GL,2021-11-24 02:40:49,60.9167,-46.05,32.22,87,100,10.76
56,Castro,BR,2021-11-24 02:40:50,-24.7911,-50.0119,64.33,74,100,7.7
57,Mto Wa Mbu,TZ,2021-11-24 02:40:50,-3.35,35.85,71.02,62,62,1.16
58,Wewak,PG,2021-11-24 02:40:50,-3.5534,143.6268,84.79,73,96,7.16
59,Stettler,CA,2021-11-24 02:40:51,52.3168,-112.7186,6.55,100,99,5.75
60,Torbay,CA,2021-11-24 02:40:51,47.6666,-52.7314,43.57,97,90,29.93
61,Chokurdakh,RU,2021-11-24 02:40:52,70.6333,147.9167,-22.23,98,100,4.18
62,Dawei,MM,2021-11-24 02:40:52,14.0833,98.2,81.75,67,92,9.08
63,Kahului,US,2021-11-24 02:39:07,20.8947,-156.47,84.22,68,40,12.66
64,Kimberley,ZA,2021-11-24 02:40:53,-28.7323,24.7623,51.49,82,25,6.91
65,Weligama,LK,2021-11-24 02:40:53,5.9667,80.4167,78.49,86,100,2.98
66,Khatanga,RU,2021-11-24 02:40:54,71.9667,102.5,-1.57,83,100,13.71
67,Busselton,AU,2021-11-24 02:40:54,-33.65,115.3333,73.8,41,2,6.2
68,Souillac,MU,2021-11-24 02:40:55,-20.5167,57.5167,79.36,94,40,5.75
69,Siyabuswa,ZA,2021-11-24 02:40:55,-25.1132,29.0445,64.65,39,0,4.23
70,Corinto,GR,2021-11-24 02:37:04,37.9407,22.9573,59.68,91,64,5.03
71,Okhotsk,RU,2021-11-24 02:40:56,59.3833,143.3,11.97,73,100,14.67
72,Cape Town,ZA,2021-11-24 02:40:56,-33.9258,18.4232,64.11,64,0,19.57
73,Atuona,PF,2021-11-24 02:40:57,-9.8,-139.0333,77.65,77,51,12.8
74,Mayumba,GA,2021-11-24 02:40:57,-3.432,10.6554,76.24,89,96,3.09
75,Bisauli,IN,2021-11-24 02:40:58,28.3167,78.9333,62.58,54,0,5.01
76,Menongue,AO,2021-11-24 02:40:58,-14.6585,17.691,68.05,59,98,4.5
77,Upernavik,GL,2021-11-24 02:40:58,72.7868,-56.1549,3.31,65,100,7.47
78,Boueni,YT,2021-11-24 02:40:59,-12.9025,45.0761,80.58,74,24,13.2
79,Katsuura,JP,2021-11-24 02:40:59,35.1333,140.3,60.91,59,3,23.91
80,Grindavik,IS,2021-11-24 02:41:00,63.8424,-22.4338,34.27,69,75,34.52
81,Vao,NC,2021-11-24 02:41:00,-22.6667,167.4833,75.52,73,100,8.14
82,Hermanus,ZA,2021-11-24 02:41:01,-34.4187,19.2345,63.9,81,100,8.68
83,Amahai,ID,2021-11-24 02:41:01,-3.3333,128.9167,86.2,66,96,4.43
84,Rohri,PK,2021-11-24 02:41:03,27.6922,68.8951,53.47,87,0,0.0
85,Nola,IT,2021-11-24 02:41:03,40.922,14.5329,59.36,68,100,14.0
86,Mar Del Plata,AR,2021-11-24 02:38:19,-38.0023,-57.5575,65.08,65,0,5.01
87,Barrow,US,2021-11-24 02:41:04,71.2906,-156.7887,3.22,78,90,8.05
88,Jasper,US,2021-11-24 02:41:04,37.2001,-94.3502,56.68,50,1,3.0
89,Saskylakh,RU,2021-11-24 02:41:05,71.9167,114.0833,-18.29,90,49,12.03
90,Stromness,GB,2021-11-24 02:41:05,58.965,-3.296,46.65,88,100,25.99
91,Klaksvik,FO,2021-11-24 02:42:06,62.2266,-6.589,41.92,63,38,30.04
92,Hovd,MN,2021-11-24 02:42:07,48.0056,91.6419,29.52,51,100,6.69
93,Beringovskiy,RU,2021-11-24 02:42:07,63.05,179.3167,-7.67,89,10,5.68
94,Fortuna,US,2021-11-24 02:42:08,40.5982,-124.1573,52.36,71,90,1.01
95,Norman Wells,CA,2021-11-24 02:38:49,65.282,-126.8329,-32.76,68,20,3.44
96,Kamenka,RU,2021-11-24 02:42:08,51.3223,42.7678,15.75,75,51,4.74
97,Mayo,US,2021-11-24 02:42:09,38.8876,-76.5119,38.95,55,1,1.01
98,Cidreira,BR,2021-11-24 02:41:19,-30.1811,-50.2056,64.31,68,0,7.7
99,Luderitz,NA,2021-11-24 02:42:10,-26.6481,15.1594,61.2,72,74,16.6
100,Jumla,NP,2021-11-24 02:42:10,29.2747,82.1838,51.89,20,0,0.31
101,Yulara,AU,2021-11-24 02:42:10,-25.2406,130.9889,73.24,46,75,13.8
102,Tasiilaq,GL,2021-11-24 02:42:11,65.6145,-37.6368,23.16,64,100,3.6
103,Bud,US,2021-11-24 02:39:40,39.447,-86.1758,35.89,64,1,7.94
104,Oroville,US,2021-11-24 02:42:12,39.5138,-121.5564,59.0,64,1,6.91
105,Yellowknife,CA,2021-11-24 02:42:12,62.456,-114.3525,-13.45,70,75,6.91
106,Kaitangata,NZ,2021-11-24 02:42:13,-46.2817,169.8464,62.85,52,100,3.89
107,Waw,SS,2021-11-24 02:42:13,7.7029,27.9953,71.01,34,11,4.72
108,Pisco,PE,2021-11-24 02:42:14,-13.7,-76.2167,64.45,88,0,10.36
109,Saint George,US,2021-11-24 02:42:14,37.1041,-113.5841,57.34,35,1,1.99
110,Georgetown,MY,2021-11-24 02:40:36,5.4112,100.3354,84.13,82,20,1.01
111,Tilichiki,RU,2021-11-24 02:42:15,60.4667,166.1,2.28,91,95,8.86
112,Fairbanks,US,2021-11-24 02:40:47,64.8378,-147.7164,-9.4,65,1,3.44
113,Qazvin,IR,2021-11-24 02:42:16,36.2797,50.0049,33.42,100,0,2.3
114,Lebu,CL,2021-11-24 02:42:16,-37.6167,-73.65,54.86,91,3,13.49
115,Avarua,CK,2021-11-24 02:42:17,-21.2078,-159.775,78.85,65,20,12.66
116,Malakal,SS,2021-11-24 02:42:17,9.5334,31.6605,72.75,30,6,4.65
117,Bathsheba,BB,2021-11-24 02:42:18,13.2167,-59.5167,81.21,78,20,12.66
118,Usinsk,RU,2021-11-24 02:42:18,65.9939,57.5281,16.03,93,100,19.28
119,Sonipat,IN,2021-11-24 02:42:19,28.9833,77.0167,55.4,27,0,4.47
120,Bijapur,IN,2021-11-24 02:42:19,16.8333,75.7,77.18,75,25,11.61
121,Camopi,GF,2021-11-24 02:42:19,3.1655,-52.3158,70.81,98,97,2.59
122,Acari,PE,2021-11-24 02:42:20,-15.4311,-74.6158,68.97,75,100,2.08
123,Auki,SB,2021-11-24 02:42:20,-8.7676,160.7034,84.56,69,77,4.72
124,Buckeburg,DE,2021-11-24 02:42:21,52.2607,9.0494,45.77,95,75,2.3
125,Soligalich,RU,2021-11-24 02:42:21,59.0778,42.2864,21.07,94,99,7.02
126,Beloha,MG,2021-11-24 02:42:22,-25.1667,45.05,72.41,86,73,12.71
127,Sulphur,US,2021-11-24 02:42:22,30.2366,-93.3774,58.98,69,1,5.75
128,Mathbaria,BD,2021-11-24 02:42:23,22.2876,89.9593,78.87,57,4,6.93
129,Evensk,RU,2021-11-24 02:42:23,61.95,159.2333,10.51,72,97,9.53
130,Hay River,CA,2021-11-24 02:42:23,60.8156,-115.7999,-13.02,77,20,3.44
131,Lavrentiya,RU,2021-11-24 02:42:24,65.5833,-171.0,0.66,88,2,7.9
132,Sao Filipe,CV,2021-11-24 02:42:24,14.8961,-24.4956,78.8,73,100,2.08
133,Coihaique,CL,2021-11-24 02:42:25,-45.5752,-72.0662,58.95,51,0,10.36
134,Biak,ID,2021-11-24 02:43:25,-0.9131,122.8766,83.77,72,96,3.24
135,Sibolga,ID,2021-11-24 02:43:26,1.7427,98.7792,84.4,64,100,2.01
136,Ketchikan,US,2021-11-24 02:43:26,55.3422,-131.6461,37.38,87,75,3.44
137,Verkhnyaya Inta,RU,2021-11-24 02:43:27,65.9811,60.3094,16.2,95,100,17.36
138,Balaipungut,ID,2021-11-24 02:43:27,1.05,101.2833,79.21,78,100,1.99
139,Lata,PT,2021-11-24 02:43:27,40.1629,-8.3327,48.81,89,77,2.91
140,Isangel,VU,2021-11-24 02:43:28,-19.55,169.2667,80.71,83,90,5.75
141,Marsh Harbour,BS,2021-11-24 02:43:28,26.5412,-77.0636,70.34,67,100,23.76
142,Mahebourg,MU,2021-11-24 02:43:29,-20.4081,57.7,79.25,94,40,5.75
143,Husavik,IS,2021-11-24 02:43:29,66.0449,-17.3389,31.91,83,100,35.66
144,Gwanda,ZW,2021-11-24 02:43:30,-20.9333,29.0,69.84,63,28,2.95
145,Thompson,CA,2021-11-24 02:42:15,55.7435,-97.8558,-3.84,71,75,8.05
146,San Cristobal,VE,2021-11-24 02:43:30,7.7669,-72.225,68.18,94,70,1.41
147,Hirara,JP,2021-11-24 02:39:15,24.8,125.2833,70.07,60,75,12.66
148,Novo Aripuana,BR,2021-11-24 02:43:31,-5.1206,-60.3797,75.65,82,96,1.32
149,Shahr-E Babak,IR,2021-11-24 02:43:31,30.1165,55.1186,46.54,54,0,3.04
150,Pomabamba,PE,2021-11-24 02:43:32,-8.8333,-77.4667,51.46,90,100,0.92
151,Khatra,IN,2021-11-24 02:43:32,22.9833,86.85,72.93,31,0,5.3
152,Hobart,AU,2021-11-24 02:43:00,-42.8794,147.3294,75.06,60,75,10.36
153,Ribeira Grande,PT,2021-11-24 02:43:33,38.5167,-28.7,67.37,84,77,20.8
154,Visnes,NO,2021-11-24 02:43:33,59.3556,5.2242,49.57,87,75,20.71
155,Airai,TL,2021-11-24 02:43:34,-8.9266,125.4092,76.32,55,51,1.99
156,Bambous Virieux,MU,2021-11-24 02:43:34,-20.3428,57.7575,79.21,94,40,5.75
157,Roma,US,2021-11-24 02:41:31,43.2128,-75.4557,28.26,84,1,0.0
158,Orotukan,RU,2021-11-24 02:43:35,62.2667,151.7,-16.69,97,36,2.51
159,Mingaora,PK,2021-11-24 02:43:35,34.7758,72.3625,56.37,25,77,5.37
160,Tefe,BR,2021-11-24 02:43:36,-3.3542,-64.7114,73.8,97,71,1.97
161,Bluff,NZ,2021-11-24 02:43:36,-46.6,168.3333,57.92,70,100,13.51
162,Coquimbo,CL,2021-11-24 02:43:16,-29.9533,-71.3436,56.93,88,40,5.75
163,Lazaro Cardenas,MX,2021-11-24 02:43:37,17.9583,-102.2,77.47,84,38,4.72
164,Stykkisholmur,IS,2021-11-24 02:43:37,65.0757,-22.7297,31.89,70,79,28.45
165,Bengkulu,ID,2021-11-24 02:43:38,-3.8004,102.2655,78.73,74,100,1.74
166,Ardakan,IR,2021-11-24 02:43:38,32.31,54.0175,48.58,63,0,3.87
167,Zarubino,RU,2021-11-24 02:43:38,42.63,131.0922,27.05,46,23,28.34
168,Kruisfontein,ZA,2021-11-24 02:43:39,-34.0033,24.7314,53.89,78,67,3.91
169,Kodiak,US,2021-11-24 02:39:17,57.79,-152.4072,11.71,57,1,9.22
170,Tay Ninh,VN,2021-11-24 02:43:40,11.3,106.1,82.17,68,100,9.28
171,Manokwari,ID,2021-11-24 02:43:40,-0.8667,134.0833,81.27,81,100,14.0
172,Chalmette,US,2021-11-24 02:43:40,29.9427,-89.9634,57.2,66,1,1.01
173,Gaoyou,CN,2021-11-24 02:43:41,32.7858,119.4278,53.96,36,0,11.5
174,Russell,US,2021-11-24 02:43:41,32.3502,-85.1999,42.4,64,1,0.0
175,Bangassou,CF,2021-11-24 02:43:42,4.7413,22.8184,64.22,67,82,2.17
176,Hithadhoo,MV,2021-11-24 02:43:42,-0.6,73.0833,82.04,76,91,17.74
177,Sompeta,IN,2021-11-24 02:43:43,18.9333,84.6,79.86,79,16,4.83
178,Waverly,US,2021-11-24 02:43:43,42.7392,-84.6208,33.93,71,1,12.66
179,Dikson,RU,2021-11-24 02:43:44,73.5069,80.5464,5.83,92,100,10.42
180,Port Alfred,ZA,2021-11-24 02:43:44,-33.5906,26.891,61.14,76,86,13.27
181,Ozieri,IT,2021-11-24 02:43:45,40.586,9.0012,51.24,95,84,5.1
182,Copperas Cove,US,2021-11-24 02:43:45,31.1241,-97.9031,59.76,50,1,8.05
183,Puerto Ayora,EC,2021-11-24 02:44:46,-0.7393,-90.3518,68.99,81,13,6.89
184,Lerwick,GB,2021-11-24 02:44:46,60.1545,-1.1494,46.4,81,100,23.6
185,Saint-Denis,FR,2021-11-24 02:44:47,48.9167,2.3333,40.14,96,20,3.0
186,Platanos,GR,2021-11-24 02:44:47,37.6667,21.6167,57.07,83,18,4.43
187,Codrington,AU,2021-11-24 02:44:47,-38.2667,141.9667,67.6,72,75,11.34
188,Goure,NE,2021-11-24 02:44:48,13.9835,10.2704,78.03,18,1,8.52
189,Boende,CD,2021-11-24 02:44:48,-0.2167,20.8667,70.16,99,97,1.25
190,Port Blair,IN,2021-11-24 02:43:31,11.6667,92.75,83.62,79,82,13.91
191,Port Elizabeth,ZA,2021-11-24 02:40:16,-33.918,25.5701,57.49,88,0,2.3
192,Te Anau,NZ,2021-11-24 02:44:49,-45.4167,167.7167,68.18,39,97,2.86
193,Ust-Kulom,RU,2021-11-24 02:44:50,61.6864,53.6902,14.31,94,100,7.49
194,El Carmen,CO,2021-11-24 02:44:50,8.5106,-73.4478,67.77,100,100,2.26
195,Espumoso,BR,2021-11-24 02:44:50,-28.7247,-52.8497,62.13,72,26,8.88
196,Llanes,ES,2021-11-24 02:44:51,43.4198,-4.7549,55.89,92,100,7.31
197,Bethel,US,2021-11-24 02:44:51,41.3712,-73.414,34.38,56,1,1.01
198,Nikolskoye,RU,2021-11-24 02:44:52,59.7035,30.7861,31.87,87,100,13.35
199,Clyde River,CA,2021-11-24 02:44:52,70.4692,-68.5914,17.83,93,100,26.46
200,Mana,GF,2021-11-24 02:44:53,5.6592,-53.7767,78.44,89,98,9.17
201,Seddon,AU,2021-11-24 02:44:53,-37.8068,144.8916,82.35,58,90,3.44
202,Broome,US,2021-11-24 02:44:53,42.2506,-75.833,27.66,79,1,1.01
203,Parana,AR,2021-11-24 02:44:54,-31.732,-60.5238,73.51,64,3,7.81
204,Sorland,NO,2021-11-24 02:44:54,67.667,12.6934,35.13,68,100,27.02
205,Acapulco,MX,2021-11-24 02:41:44,16.8634,-99.8901,82.22,78,40,8.05
206,Newport,GB,2021-11-24 02:42:00,51.5877,-2.9984,47.44,85,99,3.24
207,Avera,US,2021-11-24 02:44:55,33.194,-82.5271,38.71,34,0,3.91
208,Jalu,LY,2021-11-24 02:44:56,29.0331,21.5482,65.57,32,100,6.31
209,Doka,SD,2021-11-24 02:44:56,13.5167,35.7667,72.77,55,30,9.17
210,Cabo San Lucas,MX,2021-11-24 02:43:33,22.8909,-109.9124,76.51,76,20,4.0
211,Butaritari,KI,2021-11-24 02:44:57,3.0707,172.7902,82.18,70,100,12.95
212,New Richmond,US,2021-11-24 02:44:36,45.123,-92.5366,47.82,69,98,15.95
213,Roald,NO,2021-11-24 02:44:58,62.5833,6.1333,48.34,81,90,19.57
214,Hutchinson,US,2021-11-24 02:43:27,38.0608,-97.9298,59.31,39,77,8.01
215,Prince Rupert,CA,2021-11-24 02:44:58,54.3161,-130.3201,40.69,78,75,6.91
216,Banjar,ID,2021-11-24 02:44:59,-8.19,114.9675,85.86,75,93,2.17
217,Jijiga,ET,2021-11-24 02:44:59,9.35,42.8,58.64,27,75,10.96
218,Arraial Do Cabo,BR,2021-11-24 02:43:34,-22.9661,-42.0278,71.65,89,50,8.16
219,Los Llanos De Aridane,ES,2021-11-24 02:45:00,28.6585,-17.9182,64.15,82,0,4.0
220,College,US,2021-11-24 02:45:00,64.8569,-147.8028,-9.42,64,20,5.75
221,Aswan,EG,2021-11-24 02:45:01,24.0934,32.907,60.1,44,0,4.61
222,Laguna,US,2021-11-24 02:45:01,38.421,-121.4238,57.96,70,1,6.91
223,Esperance,AU,2021-11-24 02:43:46,-33.8667,121.9,66.04,56,1,9.64
224,Ananindeua,BR,2021-11-24 02:45:02,-1.3656,-48.3722,76.91,94,0,3.44
225,Pangody,RU,2021-11-24 02:45:02,65.85,74.4859,7.59,96,99,8.63
226,Sulecin,PL,2021-11-24 02:45:03,52.4443,15.1168,44.08,85,100,9.84
227,Chillicothe,US,2021-11-24 02:45:03,39.3331,-82.9824,31.51,71,1,0.0
228,Koutselion,GR,2021-11-24 02:45:04,39.5889,20.9142,45.52,100,28,1.14
229,Gunjur,GM,2021-11-24 02:46:04,13.2019,-16.7339,77.07,100,0,0.0
230,Nanortalik,GL,2021-11-24 02:46:05,60.1432,-45.2371,35.89,90,100,13.22
231,Marawi,PH,2021-11-24 02:46:05,7.9986,124.2928,74.64,64,90,4.76
232,Haines Junction,CA,2021-11-24 02:44:05,60.7522,-137.5108,-11.25,77,100,3.44
233,Strathmore,CA,2021-11-24 02:45:04,51.0501,-113.3852,28.58,80,100,6.91
234,Ahipara,NZ,2021-11-24 02:46:06,-35.1667,173.1667,63.0,84,69,2.21
235,Chingirlau,KZ,2021-11-24 02:46:07,51.095,54.0814,20.37,85,100,7.96
236,Petropavlovsk-Kamchatskiy,RU,2021-11-24 02:43:34,53.0452,158.6483,39.79,75,75,11.18
237,Chapais,CA,2021-11-24 02:46:07,49.7834,-74.8492,13.78,99,69,2.35
238,Bamako,ML,2021-11-24 02:43:00,12.65,-8.0,75.61,41,0,8.05
239,Belmonte,BR,2021-11-24 02:46:08,-15.8631,-38.8828,73.9,91,13,4.21
240,Shaunavon,CA,2021-11-24 02:43:10,49.6501,-108.4181,26.38,87,100,21.12
241,Sao Felix Do Xingu,BR,2021-11-24 02:46:09,-6.6447,-51.995,73.49,93,100,2.71
242,Beira,MZ,2021-11-24 02:46:09,-19.8436,34.8389,77.09,94,20,0.0
243,Sabha,LY,2021-11-24 02:46:10,27.0377,14.4283,65.43,32,100,3.62
244,Egvekinot,RU,2021-11-24 02:46:10,66.3167,-179.1667,-4.9,66,17,6.4
245,Hasaki,JP,2021-11-24 02:46:11,35.7333,140.8333,63.28,36,0,13.67
246,Saint-Philippe,RE,2021-11-24 02:46:11,-21.3585,55.7679,76.59,65,27,7.65
247,Tura,IN,2021-11-24 02:46:11,25.5198,90.2201,71.33,47,0,0.87
248,Goderich,CA,2021-11-24 02:46:12,43.7501,-81.7165,32.32,59,10,6.91
249,Ilmajoki,FI,2021-11-24 02:46:12,62.7333,22.5667,38.79,61,90,14.97
250,Saint-Georges,GD,2021-11-24 02:45:22,12.0564,-61.7485,80.28,83,20,11.5
251,Nome,US,2021-11-24 02:46:13,64.5011,-165.4064,8.67,61,1,16.11
252,Derbent,RU,2021-11-24 02:46:13,42.0678,48.2899,50.25,60,5,6.49
253,Sri Aman,MY,2021-11-24 02:46:14,1.2376,111.4621,80.65,89,20,3.44
254,Marsala,IT,2021-11-24 02:46:14,37.7966,12.4352,58.93,88,75,5.75
255,Papara,BR,2021-11-24 02:46:15,-3.9839,-38.7273,81.0,89,73,3.76
256,Kinkala,CG,2021-11-24 02:46:15,-4.3614,14.7644,73.71,98,100,3.76
257,Dunedin,NZ,2021-11-24 02:46:16,-45.8742,170.5036,59.45,66,100,7.65
258,Salalah,OM,2021-11-24 02:43:15,17.0151,54.0924,82.49,28,0,8.05
259,Japura,ID,2021-11-24 02:46:17,-0.3167,102.35,85.57,69,99,1.48
260,Nicoya,CR,2021-11-24 02:46:17,10.1483,-85.452,74.75,81,66,6.22
261,Kawalu,ID,2021-11-24 02:46:17,-7.3817,108.2082,84.94,64,100,1.79
262,Izhmorskiy,RU,2021-11-24 02:46:18,56.194,86.6414,23.16,90,92,13.65
263,Batangafo,CF,2021-11-24 02:46:19,7.3008,18.2833,70.12,41,6,1.63
264,Port Macquarie,AU,2021-11-24 02:45:15,-31.4333,152.9167,75.16,78,100,14.47
265,Torbat-E Jam,IR,2021-11-24 02:46:05,35.244,60.6225,49.5,55,100,0.72
266,Richards Bay,ZA,2021-11-24 02:46:19,-28.783,32.0377,65.84,68,100,13.67
267,Longyearbyen,SJ,2021-11-24 02:46:20,78.2186,15.6401,8.44,61,0,16.11
268,Hudson Bay,CA,2021-11-24 02:46:20,52.85,-102.3842,13.91,86,82,9.66
269,Bara,NG,2021-11-24 02:46:21,10.3744,10.7288,74.32,29,96,5.84
